membership_label,baseline_group_type,K,gep,median_delta,delta_q25,delta_q75,n_samples,median_ROGUE,median_n_cells,fraction_samples_positive,members_str,delta_IQR
Mono_CD14+Mono_CD16,subgroup,5,1,-0.0826454738856955,-0.09013664303226421,-0.077065107383544,7,0.8949850658164404,467.0,0.0,Mono_CD14+Mono_CD16,0.013071535648720212
Mono_CD14+Mono_CD16,subgroup,6,1,-0.0732640442414312,-0.08175048160354005,-0.0719767706509776,7,0.9010838514971068,465.0,0.0,Mono_CD14+Mono_CD16,0.00977371095256245
Mono_CD14+Mono_CD16,subgroup,7,1,-0.0743551033271691,-0.0766564991650556,-0.06676594329441345,7,0.9047463027850868,458.0,0.0,Mono_CD14+Mono_CD16,0.009890555870642151
Mono_CD14+Mono_CD16,subgroup,8,1,-0.0735807446405498,-0.07482538129603916,-0.06676594329441345,7,0.9057935180236476,458.0,0.0,Mono_CD14+Mono_CD16,0.008059438001625716
Mono_CD14+Mono_CD16,subgroup,9,1,-0.0680156025146274,-0.07530039408486375,-0.0646578078744594,7,0.90594980171286,456.0,0.0,Mono_CD14+Mono_CD16,0.010642586210404342
Mono_CD14+Mono_CD16,subgroup,11,1,-0.0719671992312279,-0.0825677815903242,-0.06934150647191845,7,0.90393497044711,461.0,0.0,Mono_CD14+Mono_CD16,0.013226275118405753
Mono_CD14+Mono_CD16,subgroup,16,1,-0.082700837255895,-0.0938539859444346,-0.07688247249523765,7,0.8932971678375266,465.0,0.0,Mono_CD14+Mono_CD16,0.01697151344919695
Mono_CD14+Mono_CD16,subgroup,17,1,-0.0829636598540308,-0.09383300381277296,-0.07811264334864346,7,0.8930343452393907,462.0,0.0,Mono_CD14+Mono_CD16,0.0157203604641295
Mono_CD14+Mono_CD16,subgroup,18,1,-0.0834371214193363,-0.09398588222363399,-0.07763585212575876,7,0.8925608836740853,466.0,0.0,Mono_CD14+Mono_CD16,0.016350030097875237
Mono_CD14+Mono_CD16,subgroup,19,1,-0.0646338276745845,-0.0791893973923801,-0.0439462999575754,5,0.9144675784376712,229.0,0.0,Mono_CD14+Mono_CD16,0.03524309743480469
Mono_CD14+Mono_CD16,subgroup,19,3,-0.0810724978041423,-0.0858263152294687,-0.0701783579552435,9,0.8997598352101934,208.0,0.0,Mono_CD14+Mono_CD16,0.015647957274225188
Mono_CD14+Mono_CD16,subgroup,19,4,-0.0747893901666112,-0.08661348427948524,-0.07073286036561498,6,0.9098654306828338,77.0,0.0,Mono_CD14+Mono_CD16,0.015880623913870268
